School,Team,Div.,Rank,Skipper,Races,Crew,Races
Boston College,Eagles,A,5,Wade Waddell '19,,Katharine Bowman '20,"1-6,9-10"
Boston College,Eagles,A,5,Wade Waddell '19,,Kyla MacLennan '18,7-8
Boston College,Eagles,A,5,Wade Waddell '19,,Caroline Rochford '19,11-12
Boston College,Eagles,B,5,Isabella Loosbrock '19,,Emma Perry '19,"1-2,5-12"
Boston College,Eagles,B,5,Isabella Loosbrock '19,,Caroline Rochford '19,3-4
Boston College,Eagles,C,9,Colin Brego '20,,Eliza Wright '20,"1-8,11-12"
Boston College,Eagles,C,9,Colin Brego '20,,Kyla MacLennan '18,9-10
Boston University,Terriers,A,8,Josh Dochoda '20,,Hannah Davis '19,"1-2,5-6,11-12"
Boston University,Terriers,A,8,Josh Dochoda '20,,Charles Honke '20,"3-4,7-10"
Boston University,Terriers,B,8,Lydia Grasberger '18,,Meredith Harrington '18,1-8
Boston University,Terriers,B,8,Lydia Grasberger '18,,Alex Moreno '19,"9-10,12"
Boston University,Terriers,B,8,Lydia Grasberger '18,,Caroline Salas '18,11
Boston University,Terriers,C,3,Maia Agerup '20,,Caroline Salas '18,1-7
Boston University,Terriers,C,3,Maia Agerup '20,,Meredith Harrington '18,8-12
Brown University,Bears,A,7,Patrick Shanahan '19,,Julia Kim '18,
Brown University,Bears,B,11,Lindsey Baab '18,,Abigayle Konys '19,"1-8,11"
Brown University,Bears,B,11,Lindsey Baab '18,,Grace Gagnon '18,"9-10,12"
Brown University,Bears,C,5,Ragna Agerup '20,1-7,Maxine De Havenon '19,"1-8,10-12"
Brown University,Bears,C,5,Hannah Steadman '20,8-12,Gabriel Hannon '20,9
Connecticut College,Camels,A,9,Walter Florio '18,1-6,Albert Rodiger '18,"1-7,9-12"
Connecticut College,Camels,A,9,Hugh MacGillivray '18,7-10,Elizabeth Davis '21,8
Connecticut College,Camels,A,9,Emilia Clementi '18,11-12,Elizabeth Davis '21,8
Connecticut College,Camels,B,4,Carter Pemberton '20,11-12,Cecilia Moreira '20,8
Connecticut College,Camels,C,16,Alexandra Maurillo '18,"1-2,5-6,9-10",Paige Dunlevy '20,"1-2,9-10"
Connecticut College,Camels,C,16,Charlotte List '18,"3-4,7-8,11-12",Gwynie Dunlevy '20,"3-4,7-8,11-12"
Connecticut College,Camels,C,16,Charlotte List '18,"3-4,7-8,11-12",Haley Kachmar '18,5-6
Dartmouth College,Big Green,A,14,Jack McGraw '20,,Alyssa Berger '19,
Dartmouth College,Big Green,B,7,Timothy Greenhouse '21,,Mary Amis '19,
Dartmouth College,Big Green,C,7,Max Clapp '21,,Sarah Chong '21,
Fordham University,Rams,A,11,Roberto Stevens '19,,Declan Lombard '21,"1-2,7-9"
Fordham University,Rams,A,11,Roberto Stevens '19,,Cortney Rielly '20,3-6
Fordham University,Rams,A,11,Roberto Stevens '19,,Annika Ekholm '20,10-12
Fordham University,Rams,B,9,Matt Cappetta '19,,Annika Ekholm '20,1-8
Fordham University,Rams,B,9,Matt Cappetta '19,,Cortney Rielly '20,9-12
Fordham University,Rams,C,8,Brad Seferian '19,,Makena Masterson '19,9-12
George Washington University,Colonials,A,13,Andrew Sheerin '19,,Matthew Homa '18,
George Washington University,Colonials,B,15,Derek Poon Tip '19,,Shira Golub '18,"1-2,11"
George Washington University,Colonials,B,15,Derek Poon Tip '19,,Michael Houllahan '20,"3-10,12"
